Date,IWM,QQQ,SPY
2000-05-26,34.800865173339844,67.67073822021484,93.36367797851562
2000-05-30,36.085365295410156,74.4704360961914,96.40817260742188
2000-05-31,36.21621322631836,72.34893798828125,96.61959075927734
2000-06-01,37.03684997558594,76.04800415039062,98.31096649169922
2000-06-02,38.963645935058594,81.48775482177734,100.02349090576172
2000-06-05,38.82091522216797,81.69173431396484,99.5372314453125
2000-06-06,39.20153045654297,79.42062377929688,99.09324645996094
2000-06-07,39.24909591674805,81.54214477539062,99.7803726196289
2000-06-08,39.15394592285156,81.16136169433594,99.38920593261719
2000-06-09,39.84378433227539,81.59651947021484,99.17779541015625
2000-06-12,38.66035842895508,78.9854507446289,98.01498413085938
2000-06-13,39.15394592285156,82.03172302246094,99.85432434082031
2000-06-14,38.963645935058594,80.18221282958984,100.02349090576172
2000-06-15,39.01120376586914,81.59651947021484,100.23489379882812
2000-06-16,38.79713439941406,82.03172302246094,99.41129302978516
2000-06-19,39.77241134643555,85.29552459716797,100.68279266357422
2000-06-20,40.03406524658203,84.96920013427734,100.32256317138672
2000-06-21,40.24732971191406,86.05714416503906,100.2801742553711
2000-06-22,39.033470153808594,82.90206146240234,98.75436401367188
2000-06-23,38.77167892456055,79.63822937011719,97.90669250488281
2000-06-26,39.247703552246094,81.81410217285156,99.1676025390625
2000-06-27,38.62886428833008,80.83496856689453,98.43647003173828
2000-06-28,39.60470962524414,81.81410217285156,98.71197509765625
2000-06-29,38.98588943481445,79.76063537597656,97.77952575683594
2000-06-30,39.36073303222656,81.32453918457031,98.52123260498047
2000-07-03,39.91410827636719,82.90206146240234,99.87753295898438
2000-07-05,39.4619026184082,79.69263458251953,98.07621765136719
2000-07-06,39.9260139465332,81.81410217285156,98.8391342163086
2000-07-07,40.175926208496094,83.50048828125,100.42851257324219
2000-07-10,40.4377326965332,82.23573303222656,100.25894927978516
2000-07-11,40.39014434814453,82.68447875976562,100.47087097167969
2000-07-12,41.19936752319336,84.6427993774414,101.12782287597656
2000-07-13,41.33028030395508,85.73080444335938,101.57286834716797
2000-07-14,41.36594772338867,87.58026885986328,102.56893920898438
2000-07-17,41.50878143310547,88.55941009521484,102.39937591552734
2000-07-18,40.794742584228516,86.60115051269531,101.56230163574219
2000-07-19,40.080718994140625,84.6427993774414,100.74638366699219
2000-07-20,40.74715042114258,87.36267852783203,102.14501190185547
2000-07-21,39.628509521484375,84.42522430419922,100.15302276611328
2000-07-24,39.051334381103516,82.68447875976562,99.58081817626953
2000-07-25,39.128684997558594,83.33729553222656,99.89874267578125
2000-07-26,39.057273864746094,83.22845458984375,98.92389678955078
2000-07-27,37.986270904541016,79.96460723876953,98.5848159790039
2000-07-28,37.3198356628418,75.61278533935547,96.35969543457031
2000-07-31,38.2718620300293,77.84310150146484,96.9742431640625
2000-08-01,38.02196502685547,76.80953216552734,97.56761169433594
2000-08-02,38.081443786621094,75.44961547851562,98.0550308227539
2000-08-03,38.05765151977539,78.71345520019531,98.73316192626953
2000-08-04,38.248050689697266,78.44145965576172,99.26296997070312
2000-08-07,38.956111907958984,80.2909927368164,100.44973754882812
2000-08-08,38.77167892456055,81.92295837402344,100.83116149902344
2000-08-09,38.492027282714844,79.74700164794922,99.98353576660156
2000-08-10,38.2718620300293,78.16947937011719,99.49608612060547
2000-08-11,38.938289642333984,79.25745391845703,99.9622802734375
2000-08-14,39.34290313720703,80.94376373291016,101.23381042480469
2000-08-15,38.77167892456055,80.94376373291016,101.1490249633789
2000-08-16,38.96208190917969,81.7597427368164,100.78874206542969
2000-08-17,39.31909942626953,83.33729553222656,101.8483657836914
2000-08-18,39.25959014892578,82.90206146240234,101.50929260253906
2000-08-21,39.40239715576172,83.11968231201172,102.06029510498047
2000-08-22,39.34290313720703,83.11968231201172,101.89080047607422
2000-08-23,39.28339385986328,84.4795913696289,102.29345703125
2000-08-24,39.866519927978516,85.7851791381836,102.61127471923828
2000-08-25,40.033119201660156,85.32274627685547,102.56893920898438
2000-08-28,40.10451889038086,85.73080444335938,102.91856384277344
2000-08-29,40.485347747802734,86.1659164428711,102.93983459472656
2000-08-30,40.532955169677734,86.05714416503906,101.95433807373047
2000-08-31,40.93756103515625,88.45063781738281,103.31059265136719
2000-09-01,41.2707633972168,89.32097625732422,103.4166030883789
2000-09-05,40.985164642333984,86.60115051269531,102.59004211425781
2000-09-06,40.8066520690918,83.55486297607422,101.424560546875
2000-09-07,41.413570404052734,85.4043960571289,102.29345703125
2000-09-08,40.699546813964844,82.79328918457031,101.59407043457031
2000-09-11,40.74715042114258,80.78057098388672,101.44576263427734
2000-09-12,40.616241455078125,79.52941131591797,100.7040023803711
2000-09-13,40.81856155395508,81.3789291381836,100.96891784667969
2000-09-14,41.05656051635742,80.94376373291016,101.47749328613281
2000-09-15,40.29494094848633,79.47503662109375,99.25738525390625
2000-09-18,39.34290313720703,78.22388458251953,98.3438491821289
2000-09-19,39.98553466796875,81.10696411132812,99.23612976074219
2000-09-20,39.66779708862305,82.35810089111328,98.50318908691406
2000-09-21,38.92746353149414,76.3743667602539,97.00545501708984
2000-09-22,39.42897415161133,80.8893814086914,98.76876068115234
2000-09-25,39.47673034667969,78.74065399169922,98.06766510009766
2000-09-26,38.91551208496094,77.84310150146484,96.81417846679688
2000-09-27,38.73640441894531,77.95187377929688,97.32406616210938
2000-09-28,39.78720474243164,79.69263458251953,98.57759094238281
2000-09-29,39.596153259277344,77.2447280883789,97.64276885986328
2000-10-02,38.95132827758789,75.50401306152344,97.79151153564453
